*Frequency 	VF1-abs (dB)	VF1-phase (deg)
1	-24.0819864394293	84.7114462727785
1.00161310922831	-24.0681050559885	84.7029634333623
1.003228820578	-24.0542240522837	84.6944671421224
1.00484713824658	-24.0403434295203	84.6859573784711
1.00646806643833	-24.0264631889077	84.6774341217927
1.0080916093643	-24.012583331658	84.668897351443
1.00971777124234	-23.9987038589883	84.6603470467508
1.01134655629712	-23.9848247721188	84.6517831870163
1.0129779687601	-23.9709460722733	84.6432057515116
1.01461201286958	-23.9570677606801	84.6346147194812
1.0162486928707	-23.9431898385709	84.6260100701412
1.01788801301542	-23.929312307181	84.6173917826797
1.0195299775626	-23.9154351677501	84.6087598362568
1.02117459077795	-23.9015584215219	84.6001142100048
1.02282185693404	-23.887682069743	84.5914548830271
1.02447178031038	-23.8738061136647	84.5827818343997
1.02612436519334	-23.8599305545422	84.5740950431702
1.02777961587623	-23.8460553936338	84.5653944883575
1.02943753665927	-23.8321806322027	84.5566801489532
1.03109813184962	-23.8183062715156	84.54795200392
1.0327614057614	-23.8044323128431	84.5392100321927
1.03442736271567	-23.7905587574598	84.5304542126778
1.03609600704048	-23.7766856066446	84.5216845242534
1.03776734307086	-23.7628128616796	84.5129009457694
1.0394413751488	-23.7489405238517	84.5041034560472
1.04111810762334	-23.7350685944514	84.4952920338803
1.04279754485051	-23.7211970747728	84.4864666580331
1.04447969119336	-23.7073259661152	84.4776273072427
1.04616455102201	-23.6934552697808	84.4687739602167
1.04785212871359	-23.6795849870767	84.4599065956352
1.04954242865232	-23.6657151193134	84.4510251921492
1.05123545522948	-23.6518456678054	84.4421297283816
1.05293121284344	-23.6379766338721	84.4332201829269
1.05462970589965	-23.6241080188361	84.4242965343507
1.05633093881069	-23.610239824025	84.4153587611908
1.05803491599623	-23.5963720507697	84.4064068419558
1.0597416418831	-23.5825047004056	84.3974407551262
1.06145112090524	-23.5686377742723	84.3884604791538
1.06316335750377	-23.5547712737135	84.3794659924619
1.06487835612696	-23.540905200077	84.370457273445
1.06659612123026	-23.5270395547148	84.3614343004693
1.06831665727629	-23.5131743389832	84.3523970518721
1.0700399687349	-23.4993095542428	84.3433455059625
1.07176606008313	-23.4854452018581	84.3342796410206
1.07349493580524	-23.4715812831978	84.3251994352976
1.07522660039273	-23.4577177996356	84.3161048670168
1.07696105834434	-23.4438547525484	84.3069959143719
1.07869831416609	-23.4299921433182	84.2978725555286
1.08043837237123	-23.4161299733307	84.2887347686234
1.08218123748032	-23.4022682439762	84.2795825317642
1.0839269140212	-23.3884069566496	84.2704158230305
1.08567540652902	-23.3745461127494	84.2612346204722
1.08742671954624	-23.3606857136792	84.2520389021113
1.08918085762265	-23.3468257608462	84.2428286459404
1.09093782531538	-23.3329662556627	84.2336038299235
1.09269762718891	-23.3191071995449	84.2243644319958
1.09446026781508	-23.3052485939134	84.2151104300634
1.09622575177311	-23.2913904401937	84.2058418020039
1.0979940836496	-23.2775327398148	84.1965585256657
1.09976526803857	-23.2636754942109	84.1872605788682
1.10153930954142	-23.2498187048202	84.1779479394023
1.10331621276698	-23.2359623730861	84.1686205850299
1.10509598233154	-23.2221065004555	84.1592784934836
1.1068786228588	-23.2082510883802	84.1499216424674
1.10866413897996	-23.1943961383164	84.1405500096559
1.11045253533364	-23.1805416517248	84.131163572695
1.11224381656599	-23.1666876300714	84.1217623092021
1.11403798733062	-23.1528340748253	84.1123461967647
1.11583505228867	-23.1389809874611	84.1029152129415
1.11763501610879	-23.1251283694581	84.0934693352627
1.11943788346715	-23.1112762222993	84.0840085412286
1.12124365904749	-23.0974245474734	84.0745328083114
1.12305234754108	-23.0835733464724	84.0650421139531
1.12486395364678	-23.069722620794	84.0555364355676
1.126678482071	-23.0558723719404	84.0460157505392
1.12849593752776	-23.0420226014178	84.0364800362231
1.1303163247387	-23.0281733107376	84.0269292699455
1.13213964843304	-23.0143245014157	84.0173634290033
1.13396591334766	-23.0004761749726	84.0077824906643
1.13579512422707	-22.9866283329337	83.9981864321672
1.13762728582343	-22.972780976829	83.9885752307215
1.13946240289657	-22.9589341081933	83.9789488635074
1.14130048021399	-22.945087728566	83.9693073076761
1.1431415225509	-22.9312418394911	83.9596505403491
1.14498553469019	-22.9173964425181	83.9499785386194
1.14683252142248	-22.9035515392002	83.9402912795501
1.14868248754611	-22.8897071310962	83.9305887401753
1.15053543786717	-22.8758632197694	83.9208708975
1.15239137719949	-22.8620198067884	83.9111377284998
1.15425031036467	-22.8481768937255	83.9013892101207
1.1561122421921	-22.8343344821589	83.8916253192797
1.15797717751894	-22.8204925736715	83.8818460328647
1.15984512119017	-22.8066511698507	83.872051327734
1.16171607805857	-22.7928102722894	83.8622411807166
1.16359005298476	-22.7789698825842	83.8524155686119
1.1654670508372	-22.7651300023379	83.8425744681905
1.16734707649219	-22.7512906331579	83.8327178561932
1.16923013483392	-22.7374517766565	83.8228457093319
1.17111623075444	-22.7236134344503	83.8129580042884
1.17300536915369	-22.709775608162	83.8030547177158
1.17489755493953	-22.6959382994184	83.7931358262373
1.17679279302772	-22.6821015098521	83.7832013064472
1.17869108834196	-22.6682652411	83.77325113491
1.18059244581389	-22.6544294948041	83.7632852881606
1.1824968703831	-22.6405942726121	83.7533037427051
1.18440436699717	-22.6267595761761	83.7433064750197
1.18631494061162	-22.6129254071535	83.7332934615511
1.18822859619	-22.599091767207	83.7232646787168
1.19014533870386	-22.585258658004	83.7132201029047
1.19206517313275	-22.5714260812174	83.7031597104732
1.19398810446427	-22.557594038525	83.6930834777514
1.19591413769408	-22.54376253161	83.6829913810386
