# f  Gain  sGain  Phase sPhase
1.289890261253309518e+02 6.747412966211309149e-01 2.298178452884940112e-04 6.570000467826085655e-02 7.005830055535344498e-05
1.366716356462007411e+02 6.748659974553881113e-01 2.427355649744342061e-04 5.905622997291350845e-02 7.657662755494352384e-05
1.448118227674534637e+02 6.751365552681611870e-01 2.029719504645791984e-04 5.263790794130206868e-02 9.698133756794512586e-05
1.534368408930013175e+02 6.753143944382736796e-01 1.763320179392523159e-04 4.637526212691557570e-02 7.939680876462597281e-05
1.625755666443795064e+02 6.755789575268209557e-01 1.592302206219543045e-04 4.024902904762926031e-02 9.232794202237797586e-05
1.722585965398787380e+02 6.756400238601192321e-01 1.464271407990987790e-04 3.424682740899253480e-02 7.375013119883942108e-05
1.825183494319044257e+02 6.758685713504466452e-01 1.620123921948657018e-04 2.840108771252155759e-02 8.415055648961546888e-05
1.933891750455232170e+02 6.759090125860552911e-01 1.394346960471212196e-04 2.261535678086675286e-02 8.710725940483981708e-05
2.049074689815848274e+02 6.760176406474748267e-01 1.243210171672745916e-04 1.690841786997253349e-02 7.454005014786267030e-05
2.171117945694505238e+02 6.760423977179693678e-01 1.367900950966006210e-04 1.123643116638749044e-02 8.843354091922726856e-05
2.300430119772919113e+02 6.760729119528678943e-01 1.281483231746244518e-04 5.630938951735483221e-03 7.276523177170511191e-05
2.437444150122221629e+02 6.760959082406234888e-01 8.326994783706743758e-05 5.712750374879208703e-05 7.711176273563164017e-05
2.582618760682677248e+02 6.760687781011528452e-01 9.160953441280437050e-05 -5.545122148890424714e-03 1.050319402162907195e-04
2.736439997074671737e+02 6.760585864037802484e-01 1.115333429853254346e-04 -1.114941570137119482e-02 9.121623749461430885e-05
2.899422853882878144e+02 6.759781888689216922e-01 8.619969457231232317e-05 -1.678051378684059999e-02 9.208510959957354051e-05
3.072112998861759365e+02 6.759302763828173299e-01 1.008453720055137425e-04 -2.246781922979243160e-02 8.399563330432159363e-05
3.255088599835059995e+02 6.758046947378972824e-01 8.731365806102237687e-05 -2.826020193956497659e-02 8.770118634699961837e-05
3.448962260405759821e+02 6.756864390126232633e-01 9.308720569724883735e-05 -3.415092708310352165e-02 8.651639955396224566e-05
3.654383070957258042e+02 6.755227697253645136e-01 8.762468132559595769e-05 -4.012016561842539353e-02 6.306156636081607244e-05
3.872038781812557318e+02 6.753386947319304223e-01 8.543681524365604341e-05 -4.621506757622132616e-02 5.760523955896184830e-05
4.102658105827194390e+02 6.751362752184052463e-01 6.436293003072523459e-05 -5.251537874789461574e-02 8.996880453665698446e-05
4.347013158125026280e+02 6.749098437592732092e-01 8.375108370040198818e-05 -5.890998618340850118e-02 8.782395876179623507e-05
4.605922041145108210e+02 6.746191315101786046e-01 7.387239913616154064e-05 -6.551701296473319558e-02 1.005118164258954496e-04
4.880251583654433603e+02 6.742708997942188365e-01 7.218895528092656756e-05 -7.237101439592739938e-02 6.722329486283098673e-05
5.170920242896760328e+02 6.739143387465335033e-01 7.260771876903524848e-05 -7.944361797171130279e-02 6.317492701715772747e-05
5.478901179593945017e+02 6.734896505836610592e-01 8.842809730582499260e-05 -8.678690740389934100e-02 7.375891664691536221e-05
5.805225516094901650e+02 6.730316871189925276e-01 6.979237912223070525e-05 -9.435763259274738968e-02 7.393022553270036301e-05
6.150985788580504732e+02 6.724877442018405427e-01 7.298202211614512424e-05 -1.022629491159196269e-01 6.641393517027925728e-05
6.517339604882427011e+02 6.718971575504458782e-01 7.533039395262590453e-05 -1.105050101127624529e-01 7.847697698217580915e-05
6.905513520162330678e+02 6.712103822412578413e-01 7.054694343223176305e-05 -1.190742235688533462e-01 8.683697211550919076e-05
7.316807143427199662e+02 6.704355477391603646e-01 5.928122184984022618e-05 -1.280292159224888648e-01 6.197887570122882458e-05
7.752597488629464806e+02 6.695940459745906015e-01 5.908213239173749378e-05 -1.373726500132473327e-01 9.235174574515108087e-05
8.214343584919430441e+02 6.686381734241035879e-01 8.583624691665435523e-05 -1.471714831925962919e-01 8.284706624414576331e-05
8.703591361485165407e+02 6.675752746574242780e-01 7.614594921631753690e-05 -1.574416583940285164e-01 7.781108885348415850e-05
9.221978823334331992e+02 6.663970447973495137e-01 6.690686583222561767e-05 -1.681378675375704568e-01 7.864092835685669960e-05
9.771241535346501905e+02 6.650406948333612567e-01 5.818874662504245747e-05 -1.793722192532480608e-01 8.110426577951153251e-05
1.035321843295662575e+03 6.635819960819795416e-01 7.588188236904818947e-05 -1.911279199730522849e-01 1.135563762862251691e-04
1.096985797892383971e+03 6.619384157213894504e-01 7.857200308218011988e-05 -2.034382382155573987e-01 9.852255533103377878e-05
1.162322468679853046e+03 6.600922852653069439e-01 7.151956074724189784e-05 -2.163844877139733391e-01 1.154370089195415913e-04
1.231550603292826054e+03 6.580415089725701883e-01 8.300525638824980549e-05 -2.299476392671000180e-01 9.458164321901729580e-05
1.304901978014402857e+03 6.557670691180852440e-01 7.060877993242442900e-05 -2.441521534501989443e-01 1.118822052219601096e-04
1.382622173764656281e+03 6.532073811423643184e-01 9.622167077772488149e-05 -2.589523852462030651e-01 1.266824557045415978e-04
1.464971398307286336e+03 6.503782214983804266e-01 7.775080070495655451e-05 -2.745307028953979933e-01 1.208923225349834969e-04
1.552225357427048039e+03 6.472429628427793791e-01 9.153493669180084622e-05 -2.908661837952408180e-01 8.376626940432767385e-05
1.644676177994664386e+03 6.437908811918646723e-01 1.114615708844951086e-04 -3.078964613722570132e-01 1.194991106838530492e-04
1.742633386009650849e+03 6.399416519233885881e-01 8.494240496989386943e-05 -3.257080088608153567e-01 1.306876990425168963e-04
1.846424942895544518e+03 6.357332945184258621e-01 9.789589159480414134e-05 -3.442309122685828782e-01 1.376574112648750337e-04
1.956398343517064859e+03 6.310756455395499787e-01 1.023064695705512041e-04 -3.636453645638872967e-01 1.430469811961182502e-04
2.072921779595371845e+03 6.259394324642475471e-01 1.065231969212108607e-04 -3.838106004512763514e-01 1.554045148327487167e-04
2.196385372416546943e+03 6.203906059877274393e-01 9.450963501803737990e-05 -4.047732872960941863e-01 1.605405326620440074e-04
2.327202478960409735e+03 6.143000804548247595e-01 8.885416771530866848e-05 -4.266005724527815457e-01 2.057684346255773890e-04
2.465811075822603925e+03 6.077324707504246915e-01 9.835796971920563077e-05 -4.491352436198185472e-01 1.362284807140579264e-04
2.612675225563329150e+03 6.006261825073571092e-01 1.122286669860239036e-04 -4.724542641466482618e-01 1.703635498159776940e-04
2.768286630392066400e+03 5.929006827743704688e-01 1.084195668938652717e-04 -4.965911499457351663e-01 1.587242043791412763e-04
2.933166278390045591e+03 5.845273134590917019e-01 1.228846632090200078e-04 -5.213617803857304445e-01 1.880746407414931904e-04
3.107866187782014094e+03 5.755553716575064760e-01 9.972831877038922641e-05 -5.468606917886689178e-01 2.258215488011993820e-04
3.292971255097151243e+03 5.659971882949166311e-01 1.153955031982484796e-04 -5.729871564667986528e-01 2.580638521331832420e-04
3.489101213406773695e+03 5.558523825931516171e-01 9.671695623229733781e-05 -5.997211508159553395e-01 2.666106616878937373e-04
3.696912707195028361e+03 5.451113408746185440e-01 1.137329946391885317e-04 -6.269274499240498066e-01 2.982534934066722958e-04
3.917101490809260667e+03 5.336946988817420356e-01 1.208766706894997460e-04 -6.545996187563604130e-01 3.058956764179042572e-04
4.150404757850476926e+03 5.216662801145336426e-01 1.225575950520378622e-04 -6.826356337210280900e-01 3.517154554054733174e-04
4.397603609302721452e+03 5.090963644765521545e-01 1.357533479659183263e-04 -7.108686163132239555e-01 3.633699617566431804e-04
4.659525668664681689e+03 4.961385106488642172e-01 1.434259603799814358e-04 -7.393276112981111980e-01 3.887673329842854220e-04
4.937047852839004008e+03 4.826860640522510071e-01 1.460490558698091695e-04 -7.679631850944675930e-01 4.003976154252302899e-04
5.231099308056263908e+03 4.687846681177869623e-01 1.536803792291291707e-04 -7.965316933234205532e-01 4.255320626802162193e-04
5.542664520663107396e+03 4.544897033671718711e-01 1.295090506578298287e-04 -8.249178274786861387e-01 4.683329495933522620e-04
5.872786613189482523e+03 4.400834644251015448e-01 1.411531527394421423e-04 -8.533066550135016692e-01 4.718332600552327264e-04
6.222570836730231349e+03 4.252847987598168955e-01 1.331659258955385466e-04 -8.812442213858635576e-01 5.145517706180957303e-04
6.593188271333548073e+03 4.102820889426463946e-01 1.421017184666212394e-04 -9.088985622497067762e-01 6.202763462114482991e-04
6.985879746785249154e+03 3.952551015900644393e-01 1.417947544035522058e-04 -9.359921643812646463e-01 6.414580254707605072e-04
7.401959996915644297e+03 3.803247548697216152e-01 1.295915802076920312e-04 -9.627308327911958674e-01 7.389862684527115193e-04
7.842822061337681589e+03 3.652990502028087283e-01 1.417957125938528286e-04 -9.886990814994044419e-01 7.200462152608882267e-04
8.309941949353395103e+03 3.504326352589527405e-01 1.052248366983638532e-04 -1.014130486801477549e+00 8.541982813317378770e-04
8.804883581643463913e+03 3.357676720352994471e-01 1.400016201345110473e-04 -1.038885337876245929e+00 9.174216461887577459e-04
9.329304026284686188e+03 3.212348232386358360e-01 1.247592396154642732e-04 -1.062724753584159521e+00 1.027266369545299513e-03
9.884959046625586780e+03 3.069545491285621819e-01 1.231239487263625194e-04 -1.085883388755093826e+00 1.001826653286268546e-03
1.047370897959450849e+04 2.930984251528536144e-01 1.018997987253191689e-04 -1.108109829896495979e+00 9.869685140967508069e-04
1.109752496412072105e+04 2.795952042242661473e-01 1.349496863625442586e-04 -1.129719151955170586e+00 1.162128722559557228e-03
1.175849554052158237e+04 2.664519822992769127e-01 1.309844255549911531e-04 -1.150146860334444687e+00 1.277918822563235473e-03
1.245883364295008141e+04 2.536054940087424381e-01 1.248818183847580994e-04 -1.169839936996436958e+00 1.317129278631558580e-03
1.320088400831419494e+04 2.413541390849566481e-01 1.444657489835510223e-04 -1.188911016678854571e+00 1.453838951430084939e-03
1.398713102647238702e+04 2.294525690451489630e-01 1.382902745981817369e-04 -1.206837090290334036e+00 1.530629973228118902e-03
1.482020705798860035e+04 2.179301172895514727e-01 9.985601850941673769e-05 -1.223998507306219174e+00 1.621658746157530724e-03
1.570290124729377567e+04 2.068095165863014784e-01 1.365383071548162701e-04 -1.240181767054960638e+00 1.791039075756166443e-03
1.663816886076130686e+04 1.962299560742995219e-01 1.348739584705820440e-04 -1.255498032930957075e+00 1.994668809268592465e-03
1.762914118095947924e+04 1.861985426448060088e-01 1.180088071406918337e-04 -1.270365653871900369e+00 2.207208620588366286e-03
1.867913599020784750e+04 1.766289454732672126e-01 1.058082813551820730e-04 -1.283930328963890588e+00 2.190787665189961302e-03
1.979166867853557414e+04 1.673547826360006208e-01 1.356545843164487140e-04 -1.297150125163732959e+00 2.380848082325770845e-03
2.097046401323235114e+04 1.584920907166340598e-01 1.270145976050711422e-04 -1.309308917432718156e+00 2.324926164531448090e-03
2.221946860939523685e+04 1.500376695982246766e-01 1.110600661801160042e-04 -1.320706785239159853e+00 2.919555802888718510e-03
2.354286414322420387e+04 1.420155699521367387e-01 1.229160166871571765e-04 -1.331256597989377566e+00 2.988478078532900376e-03
2.494508135230316475e+04 1.343947256224869158e-01 1.413701361924914852e-04 -1.341791680488356509e+00 2.990803750301521645e-03
2.643081486974108338e+04 1.271259447121261543e-01 1.519742192212858781e-04 -1.351005534878442660e+00 3.289898362584889931e-03
2.800503894183630837e+04 1.202488528832606901e-01 1.499941515715664153e-04 -1.359646276705992252e+00 3.140473324323169411e-03
2.967302408188872505e+04 1.136532220324880799e-01 1.280665136760621658e-04 -1.367524450259348656e+00 3.702142606507663816e-03
3.144035471591500027e+04 1.073710163733287287e-01 1.803640967846346650e-04 -1.374748760620646992e+00 3.975506447034635182e-03
3.331294787934677151e+04 1.014224067684397212e-01 1.433266193690158085e-04 -1.381370827564293968e+00 3.616900179603825885e-03
3.529707302730649826e+04 9.586962952362505785e-02 1.542657518005657587e-04 -1.386792864779686330e+00 4.470560183160887657e-03
3.739937302478801575e+04 9.058353710046201934e-02 1.862096375710829569e-04 -1.393390854836943138e+00 4.089977260500797865e-03
3.962688638701478339e+04 8.560549472716136310e-02 1.718694130234936924e-04 -1.398245018365049885e+00 5.011256922545477901e-03
4.198707084443914209e+04 8.094065446278614351e-02 1.709281050459635597e-04 -1.402816054072858476e+00 5.201850256623103026e-03
4.448782831127585087e+04 7.648328922609454184e-02 2.172570276762955785e-04 -1.406522313065304619e+00 5.423705946671930969e-03
4.713753134116729052e+04 7.229278310551565112e-02 2.434776351776422811e-04 -1.410791660698095251e+00 6.204271576237481260e-03
4.994505115855140320e+04 6.827310210838623272e-02 2.196957168051528076e-04 -1.412505681305093130e+00 5.876560615644516559e-03
5.291978735958447214e+04 6.435688364907864167e-02 2.271117731210407125e-04 -1.416080937617417268e+00 5.907673892997381340e-03
5.607169938205458311e+04 6.087856471344037929e-02 2.564818961617332813e-04 -1.417323117887568262e+00 7.251049242584100239e-03
5.941133984965040145e+04 5.746377767416010335e-02 2.418159784416877122e-04 -1.418362087121116666e+00 7.311157685072402872e-03
6.294988990221887798e+04 5.433041292446603998e-02 3.032668591879918098e-04 -1.419886796107397098e+00 8.939020870962334150e-03
6.669919663030128868e+04 5.126332448265162600e-02 2.921985467329480009e-04 -1.420456050247145052e+00 9.985662214772077910e-03
7.067181273927491566e+04 4.858782385111218988e-02 3.637942568307804049e-04 -1.420630316242673219e+00 1.054284365730796987e-02
7.488103857590031112e+04 4.593842343355550306e-02 3.322656635606184442e-04 -1.419922747124158224e+00 1.061356248841173466e-02
7.934096665797491733e+04 4.326520917609315980e-02 3.914306477879547449e-04 -1.419357039304703472e+00 1.163370075468397012e-02
8.406652885618334403e+04 4.088067796970629858e-02 3.828938084740701698e-04 -1.417909692560755053e+00 1.132538288581930348e-02
8.907354638610439724e+04 3.848964706341986841e-02 3.205937224237893944e-04 -1.415234824123569934e+00 1.470087310520734603e-02
9.437878277775390598e+04 3.649171980572772644e-02 3.840732437727848564e-04 -1.415709983272666506e+00 1.724618423574222903e-02
1.000000000000000000e+05 3.436675231765504851e-02 3.690646381821419001e-04 -1.406782612020490708e+00 1.566335706796241969e-02
