# Acquisizione Analog Discovery 2
# Timestamp 2025-10-03 18:03:40
# time	ch1	ch2
-4.095999999999999815e-04	-3.094263162935928513e-03	2.790249042125369366e-02
-4.094999999999999790e-04	1.562293803231386974e-02	2.042885493259463670e-02
-4.093999999999999766e-04	2.685325874946374591e-02	5.481583955276527961e-03
-4.092999999999999742e-04	1.562293803231386974e-02	2.416567267692416518e-02
-4.091999999999999717e-04	1.187949779326390870e-02	2.042885493259463670e-02
-4.090999999999999693e-04	-3.094263162935928513e-03	2.042885493259463670e-02
-4.089999999999999669e-04	1.187949779326390870e-02	-1.320250476637110926e-02
-4.088999999999999644e-04	1.187949779326390870e-02	1.744766210947000344e-03
-4.087999999999999620e-04	8.136057554213949397e-03	-1.992051533382527273e-03
-4.086999999999999596e-04	-1.058114364103584712e-02	5.481583955276527961e-03
-4.085999999999999572e-04	1.562293803231386974e-02	9.218401699606054711e-03
-4.084999999999999547e-04	1.562293803231386974e-02	2.042885493259463670e-02
-4.084000000000000065e-04	1.562293803231386974e-02	1.669203718826511168e-02
-4.083000000000000041e-04	-3.094263162935928513e-03	2.416567267692416518e-02
-4.082000000000000016e-04	2.685325874946374591e-02	5.481583955276527961e-03
-4.080999999999999992e-04	1.936637827136382731e-02	9.218401699606054711e-03
-4.079999999999999968e-04	4.392617315163990094e-03	2.042885493259463670e-02
-4.078999999999999944e-04	-6.837703401985887816e-03	2.042885493259463670e-02
-4.077999999999999919e-04	1.936637827136382731e-02	2.042885493259463670e-02
-4.076999999999999895e-04	1.936637827136382731e-02	5.481583955276527961e-03
-4.075999999999999871e-04	6.491770761140307905e-04	-1.992051533382527273e-03
-4.074999999999999846e-04	4.392617315163990094e-03	1.669203718826511168e-02
-4.073999999999999822e-04	-3.094263162935928513e-03	1.295521944393558320e-02
-4.072999999999999798e-04	1.936637827136382731e-02	1.295521944393558320e-02
-4.071999999999999773e-04	4.392617315163990094e-03	5.481583955276527961e-03
-4.070999999999999749e-04	6.491770761140307905e-04	5.481583955276527961e-03
-4.069999999999999725e-04	8.136057554213949397e-03	2.042885493259463670e-02
-4.068999999999999700e-04	-6.837703401985887816e-03	2.790249042125369366e-02
-4.067999999999999676e-04	2.685325874946374591e-02	9.218401699606054711e-03
-4.066999999999999652e-04	1.562293803231386974e-02	1.744766210947000344e-03
