# Acquisizione Analog Discovery 2
# Timestamp 2025-10-14 10:11:27
# time	ch1	ch2
-4.095999999999999815e-03	-4.186161296974814094e-01	4.310295625422892130e+00
-4.094999999999999682e-03	-4.373333308927311869e-01	4.284137901212585753e+00
-4.093999999999999549e-03	-4.186161296974814094e-01	4.302821989934233038e+00
-4.092999999999999416e-03	-4.111292492193814874e-01	4.291611536701244844e+00
-4.092000000000000151e-03	-3.961554882631816432e-01	4.302821989934233038e+00
-4.091000000000000018e-03	-3.886686077850817211e-01	4.299085172189903936e+00
-4.089999999999999886e-03	-4.261030101755813315e-01	4.306558807678563028e+00
-4.088999999999999753e-03	-4.111292492193814874e-01	4.284137901212585753e+00
-4.087999999999999620e-03	-3.886686077850817211e-01	4.291611536701244844e+00
-4.086999999999999487e-03	-3.774382870679318658e-01	4.291611536701244844e+00
-4.086000000000000222e-03	-3.849251675460317879e-01	4.314032443167222119e+00
-4.085000000000000089e-03	-3.736948468288818770e-01	4.295348354445573946e+00
-4.083999999999999957e-03	-3.549776456336320996e-01	3.622721160466259249e+00
-4.082999999999999824e-03	-3.512342053945821663e-01	3.686247062119861528e+00
-4.081999999999999691e-03	-3.287735639602824000e-01	3.712404786330167905e+00
-4.080999999999999558e-03	-3.512342053945821663e-01	3.719878421818826997e+00
-4.079999999999999426e-03	-3.437473249164822442e-01	3.712404786330167905e+00
-4.079000000000000160e-03	-3.549776456336320996e-01	3.697457515352849722e+00
-4.078000000000000028e-03	-3.137998030040825559e-01	3.656352520165225162e+00
-4.076999999999999895e-03	-3.325170041993323333e-01	3.633931613699247887e+00
-4.075999999999999762e-03	-3.025694822869327005e-01	3.570405712045646052e+00
-4.074999999999999629e-03	-3.137998030040825559e-01	3.533037534602350593e+00
-4.073999999999999497e-03	-2.950826018088327785e-01	3.480722086181737396e+00
-4.073000000000000231e-03	-2.801088408526329343e-01	3.413459366783806015e+00
-4.072000000000000099e-03	-2.801088408526329343e-01	3.349933465130203736e+00
-4.070999999999999966e-03	-2.613916396573831014e-01	3.342459829641544644e+00
-4.069999999999999833e-03	-2.464178787011832850e-01	3.237828932800317805e+00
-4.068999999999999700e-03	-2.875957213307328564e-01	3.185513484379704607e+00
-4.067999999999999568e-03	-2.688785201354830234e-01	3.148145306936409149e+00
-4.066999999999999435e-03	-2.164703567887835967e-01	3.092093040771466406e+00
-4.066000000000000170e-03	-2.351875579840334018e-01	3.036040774606523662e+00
-4.065000000000000037e-03	-2.426744384621333239e-01	2.965041237464262291e+00
-4.063999999999999904e-03	-2.314441177449834408e-01	2.923936242276637731e+00
-4.062999999999999771e-03	-2.576481994183331681e-01	2.879094429344683181e+00
-4.061999999999999639e-03	-2.239572372668835187e-01	2.781937167992115434e+00
-4.060999999999999506e-03	-2.089834763106837023e-01	2.725884901827172691e+00
-4.060000000000000241e-03	-2.202137970278335577e-01	2.654885364684911764e+00
-4.059000000000000108e-03	-2.014965958325837803e-01	2.617517187241616305e+00
-4.057999999999999975e-03	-2.052400360716337413e-01	2.553991285588014470e+00
-4.056999999999999842e-03	-1.752925141592340530e-01	2.490465383934412635e+00
-4.055999999999999710e-03	-2.014965958325837803e-01	2.419465846792151265e+00
-4.054999999999999577e-03	-1.752925141592340530e-01	2.374624033860197159e+00
-4.053999999999999444e-03	-1.790359543982840140e-01	2.299887678973606686e+00
-4.053000000000000179e-03	-1.902662751154338971e-01	2.243835412808663499e+00
-4.052000000000000046e-03	-1.603187532030342088e-01	2.191519964388050301e+00
-4.050999999999999913e-03	-1.640621934420841699e-01	2.127994062734448466e+00
-4.049999999999999781e-03	-1.453449922468343924e-01	2.068204978825175733e+00
-4.048999999999999648e-03	-1.528318727249343145e-01	2.012152712660232989e+00
-4.047999999999999515e-03	-1.490884324858843535e-01	1.948626811006630932e+00
-4.047000000000000250e-03	-1.378581117687344704e-01	1.873890456120040460e+00
-4.046000000000000117e-03	-1.341146715296845093e-01	1.825311825443756586e+00
-4.044999999999999984e-03	-1.266277910515845873e-01	1.731891381835518384e+00
-4.043999999999999852e-03	-1.266277910515845873e-01	1.690786386647893602e+00
-4.042999999999999719e-03	-1.079105898563347821e-01	1.601102760783984946e+00
-4.041999999999999586e-03	-1.041671496172848349e-01	1.556260947852030618e+00
-4.040999999999999454e-03	-7.796306794393512152e-02	1.515155952664405836e+00
-4.040000000000000188e-03	-7.796306794393512152e-02	1.444156415522144687e+00
-4.039000000000000055e-03	-7.421962770488516048e-02	1.369420060635554215e+00
-4.037999999999999923e-03	-1.004237093782348739e-01	1.309630976726281704e+00
-4.036999999999999790e-03	-6.298930698773527737e-02	1.246105075072679869e+00
-4.035999999999999657e-03	-6.673274722678523840e-02	1.212473715373713956e+00
-4.034999999999999525e-03	-7.796306794393512152e-02	1.122790089509805300e+00
-4.033999999999999392e-03	-3.304178507533560294e-02	1.077948276577850972e+00
-4.033000000000000126e-03	-5.175898627058540119e-02	1.014422374924249137e+00
-4.031999999999999994e-03	-4.801554603153544015e-02	9.396860200376584427e-01
-4.030999999999999861e-03	-3.678522531438556398e-02	8.649496651510678591e-01
-4.029999999999999728e-03	-3.678522531438556398e-02	8.275814877077726228e-01
-4.028999999999999596e-03	-1.058114364103584712e-02	7.603187683098411309e-01
-4.027999999999999463e-03	-6.837703401985887816e-03	6.930560489119095280e-01
-4.027000000000000197e-03	1.187949779326390870e-02	6.257933295139780361e-01
-4.026000000000000065e-03	1.187949779326390870e-02	5.585306101160465442e-01
-4.024999999999999932e-03	1.936637827136382731e-02	4.987415262067741439e-01
-4.023999999999999799e-03	3.059669898851370695e-02	4.389524422975017437e-01
-4.022999999999999667e-03	1.936637827136382731e-02	3.679529051552407060e-01
-4.021999999999999534e-03	3.434013922756366799e-02	3.268479099676159239e-01
-4.020999999999999401e-03	7.177454161806326449e-02	2.670588260583434126e-01
-4.020000000000000136e-03	3.808357946661362209e-02	1.885856534274233942e-01
-4.019000000000000003e-03	4.931390018376349826e-02	1.175861162851623565e-01
-4.017999999999999870e-03	5.680078066186342034e-02	5.779703237588991460e-02
-4.016999999999999738e-03	6.428766113996334242e-02	5.481583955276527961e-03
-4.015999999999999605e-03	5.680078066186342034e-02	-5.804431769832544413e-02
-4.014999999999999472e-03	7.926142209616317269e-02	-1.178334016075978791e-01
-4.014000000000000207e-03	7.551798185711321165e-02	-1.963065742385179668e-01
-4.013000000000000074e-03	9.797862329141297788e-02	-2.598324758921198852e-01
-4.011999999999999941e-03	1.017220635304629250e-01	-2.972006533354152324e-01
-4.010999999999999809e-03	1.054655037695128861e-01	-3.756738259663352508e-01
-4.009999999999999676e-03	8.300486233521313373e-02	-4.541469985972553802e-01
-4.008999999999999543e-03	1.129523842476128082e-01	-4.989888115292097082e-01
-4.007999999999999410e-03	1.241827049647626913e-01	-5.625147131828116542e-01
-4.007000000000000145e-03	1.316695854428626133e-01	-6.185669793477546197e-01
-4.006000000000000012e-03	1.578736671162123129e-01	-7.082506052116632755e-01
-4.004999999999999880e-03	1.316695854428626133e-01	-7.493556003992880576e-01
-4.003999999999999747e-03	1.503867866381123908e-01	-8.240919552858786412e-01
-4.002999999999999614e-03	1.578736671162123129e-01	-8.726705859621625150e-01
-4.001999999999999481e-03	1.728474280724121570e-01	-9.361964876157644611e-01
-4.001000000000000216e-03	1.578736671162123129e-01	-9.997223892693664071e-01
-4.000000000000000083e-03	1.578736671162123129e-01	-1.066985108667297899e+00
-3.998999999999999951e-03	1.803343085505120791e-01	-1.123037374832240642e+00
-3.997999999999999818e-03	1.803343085505120791e-01	-1.186563276485842700e+00
-3.996999999999999685e-03	1.765908683114621180e-01	-1.238878724906456119e+00
-3.995999999999999552e-03	1.990515097457618843e-01	-1.313615079793046592e+00
-3.994999999999999420e-03	2.065383902238617786e-01	-1.373404163702319103e+00
-3.994000000000000154e-03	1.878211890286120012e-01	-1.455614154077568667e+00
-3.993000000000000022e-03	2.327424718972115059e-01	-1.522876873475500270e+00
-3.991999999999999889e-03	2.252555914191115838e-01	-1.556508233174465961e+00
-3.990999999999999756e-03	2.102818304629117396e-01	-1.638718223549715525e+00
-3.989999999999999623e-03	2.177687109410116617e-01	-1.687296854225999398e+00
